Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18489.0,25519834,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18489.0,37905486,Rejected; Interview,External,Male,N,N,Black/African American,Not a Veteran
18489.0,45361344,Hired,External,Male,,,White,Not a Veteran
18489.0,47542520,Rejected; Min Qualifications Not Met,External,Male,Y,,Asian,Not indicated
18489.0,53400198,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18489.0,55010264,Rejected; No Interview,External,Male,,,White,Not indicated
18489.0,58742920,Rejected; No Interview,External,Male,,,White,Not indicated
18489.0,60515816,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18489.0,63597550,Rejected; No Interview,External,Male,N,N,American Indian/Alaska Native,Not a Veteran
18489.0,90728412,Rejected; No Interview,External,Male,,,White,Not indicated
18503.0,17027299,Hired,External,Female,Y,N,Asian,Not a Veteran
18503.0,23719047,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18503.0,28138582,Rejected; No Interview,External,Female,,,White,Not indicated
18503.0,43589743,Rejected; Min Qualifications Not Met,External,Female,N,N,Black/African American,Not a Veteran
18503.0,46651508,Rejected; No Interview,External,Female,,,White,Not indicated
18503.0,58284944,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18503.0,58624101,Rejected; No Interview,External,Male,N,N,White,Not indicated
18503.0,68668648,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18503.0,83230668,Rejected; Min Qualifications Not Met,External,Male,N,N,White,Not a Veteran
18503.0,83623350,Rejected; Interview,External,Female,,,White,Not indicated
18503.0,86995671,Rejected; No Interview,External,Male,,,White,Not a Veteran
18503.0,95511856,Rejected; Interview,External,Female,,,White,No Military Service
18511.0,11642452,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18511.0,13110259,Rejected; No Interview,External,Male,,,White,Not indicated
18511.0,13485876,Hired,External,Male,,,White,Not indicated
18511.0,15156826,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18511.0,17245056,Rejected; Min Qualifications Not Met,External,Male,,,Hispanic/Latino,No Military Service
18511.0,27569214,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18511.0,30962996,Rejected; Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18511.0,39556433,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18511.0,40590255,Rejected; Min Qualifications Not Met,External,Female,Y,N,White,Not a Veteran
18511.0,47131322,Rejected; No Interview,External,Female,N,N,Asian,Not a Protected Veteran
18511.0,58162216,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18511.0,60236894,Rejected; No Interview,External,Male,N,N,White,Not indicated
18511.0,61468633,Rejected; Interview,External,Female,N,N,White,Not a Veteran
18511.0,65476120,Rejected; No Interview,External,Female,Y,,White,Not indicated
18511.0,66006720,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18511.0,68905204,Rejected; No Interview,External,Female,,,White,Not indicated
18511.0,73216440,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18511.0,82079577,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
18520.0,23410410,Rejected; No Interview,External,Female,,,White,Not indicated
18520.0,30459884,Rejected; Min Qualifications Not Met,External,Male,,,White,Not indicated
18520.0,40447141,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18520.0,41584461,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18520.0,44464697,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18520.0,49272245,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
18520.0,57160955,Rejected; Interview,External,Male,,,Hispanic/Latino,No Military Service
18520.0,57846465,Rejected; No Interview,External,Female,,,White,Not indicated
18520.0,58004272,Rejected; Min Qualifications Not Met,External,Male,,,Black/African American,Not indicated
18520.0,58938161,Rejected; Interview,External,Male,,,Asian,Not indicated
18520.0,67346605,Rejected; No Interview,External,Male,,,White,Not a Veteran
18520.0,70610778,Rejected; No Interview,External,Female,,,American Indian/Alaska Native,No Military Service
18520.0,73301754,Rejected; No Interview,External,Male,,,Asian,Not indicated
18520.0,81093472,Rejected; Min Qualifications Not Met,External,Female,,,White,Not indicated
18520.0,92061433,Rejected; Min Qualifications Not Met,External,Female,N,N,Native Hawaiian/Oth Pac Island,Not a Veteran
18520.0,92855455,Hired,External,Female,,,White,Not indicated
18520.0,94626016,Rejected; No Interview,External,Female,,,White,Not a Protected Veteran
18520.0,99820931,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18527.0,12669673,Hired,External,Female,,,White,Not indicated
18527.0,15743860,Rejected; No Interview,External,Female,,,Asian,Not indicated
18527.0,19032648,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
